test;172.16.1.143;2016/10/18 14:18:32;

test;172.16.1.143;2016/10/18 14:18:33;

test;172.16.1.143;2016/10/18 14:18:33;

test;172.16.1.143;2016/10/18 14:22:25;

test;172.16.1.143;2016/10/18 14:22:25;

test;172.16.1.143;2016/10/18 14:22:25;

test;172.16.1.143;2016/10/18 14:23:48;

test;172.16.1.143;2016/10/18 14:23:51;

test;172.16.1.143;2016/10/18 14:23:55;

test;172.16.1.143;2016/10/18 14:23:58;

test;172.16.1.143;2016/10/18 14:24:44;

test;172.16.1.143;2016/10/18 14:41:45;

test;172.16.1.143;2016/10/18 14:41:49;

tasd;172.16.1.143;2016/10/18 14:41:53;

tasd;172.16.1.143;2016/10/18 14:41:56;

